concept,en_word,ja_word,en_sim_sexual,en_sim_slavery,en_delta,ja_sim_sexual,ja_sim_slavery,ja_delta,cross_delta
master/authority,master,ご主人様,0.6592129657449373,0.6169459073793137,0.04226705836562361,0.7212523455428005,0.6043688987713931,0.11688344677140738,0.07461638840578377
power/control,dominate,支配,0.660246533168581,0.6281949647926588,0.03205156837592216,0.7056851499958536,0.6420038130325041,0.06368133696334954,0.03162976858742739
slavery/servitude,slave,奴隷,0.7458443613130695,0.8182428327990132,-0.0723984714859437,0.766572740916375,0.7757319824289114,-0.009159241512536442,0.06323922997340725
restraint,collar,首輪,0.6877031747943384,0.6403022313819932,0.04740094341234524,0.7164122363548118,0.6262168628927631,0.09019537346204864,0.0427944300497034
binding,bind,縛る,0.642622801620971,0.597108730282642,0.045514071338328965,0.7879728874283487,0.6421020565320725,0.14587083089627617,0.1003567595579472
